Temperatura,Cp_Mcquarie,Cp_Allison_Harmonica,Cp_Allison,         Cp_Foglia,S_Heibbe_Scalabrini,Cp_Heibbe_Scalabrini_Trunc,         Cp_Heibbe_Scalabrini_ROTOR-RIG
298,37.4408341518817,37.4422051905785,37.4552248722258,37.4383851969536,37.4439255480686,37.4438302837146,37.4436475105213
898,40.7235692390250,40.7580792345814,40.8756472795127,40.8248843628933,40.8411556032258,40.8411450984815,40.8076990302032
1498,43.2764231300198,43.3006832697359,43.5224634100799,43.4502861035227,43.4643814479060,43.4643776650637,43.3918688490520
2098,44.3515600923474,44.3666583412438,44.6942547537540,44.5889755608943,44.6121112855149,44.6121093536536,44.5039217782327
2698,44.8609311163126,44.8708626173932,45.3067849669383,45.1650477824426,45.2000663625474,45.2000651930065,45.0559231782782
3298,45.1356393020086,45.1425786208042,45.6902169981549,45.5108331816423,45.5583573125573,45.5583565292145,45.3768039789483
3898,45.2990768992224,45.3041698135532,45.9678026308620,45.7495602489982,45.8101747260975,45.8101741650259,45.5892329219760
4498,45.4037104812919,45.4075958446765,46.1923251657415,45.9336486707796,46.0082290333288,46.0082286117896,45.7455405843787
5098,45.4745540838808,45.4776106910482,46.3893876842047,46.0882987030631,46.1780341253578,46.1780337971155,45.8708536402851
5698,45.5246703816148,45.5271353019698,46.5728976085884,46.2269678327766,46.3333829828799,46.3333827200851,45.9784934845093
