Temperatura,U_Mcquarie,U_Allison_Harmonica,U_Allison,         U_Foglia,U_Heibbe_Scalabrini,U_Heibbe_Scalabrini_Trunc,         U_Heibbe_Scalabrini_ROTOR-RIG
298,-1075914.83376782,-1075914.79001294,-1075920.67931701,-1062977.37899506,-1075922.40604502,-1075922.37762234,-1062977.07133260
898,-1057626.95494820,-1057613.73718034,-1057582.17053328,-1044661.91270812,-1057597.62437073,-1057597.61492688,-1044660.44748595
1498,-1037305.73274320,-1037274.44181033,-1037141.06591172,-1024256.89893534,-1037184.26903937,-1037184.26337706,-1024279.21066500
2098,-1015962.71910766,-1015919.86898672,-1015621.78931723,-1002790.54768819,-1015707.03557505,-1015707.03153465,-1002856.22866343
2698,-994170.657537262,-994120.445939966,-993593.456562895,-980836.243790964,-993735.334525769,-993735.331387236,-980960.173541054
3298,-972152.707165221,-972097.510738143,-971275.645737723,-958614.715696123,-971489.067452046,-971489.064887807,-958811.527097635
3898,-950007.085340283,-949948.320703263,-948763.309094150,-936221.597903945,-949063.544030655,-949063.541864189,-936506.643450171
4498,-927782.765731113,-927721.331567390,-926102.086937824,-913703.362757734,-926504.802033710,-926504.800159041,-914092.863389464
5098,-905506.672407983,-905443.170314702,-903315.294174731,-891084.390180632,-903836.602149211,-903836.600497730,-891595.476233402
5698,-883194.765626931,-883129.616498598,-880414.853789999,-868377.921237207,-881071.373603889,-881071.372128629,-869028.693846161
