Temperatura,H_Mcquarie,H_Allison_Harmonica,H_Allison,         H_Foglia,H_Heibbe_Scalabrini,H_Heibbe_Scalabrini_Trunc,         H_Heibbe_Scalabrini_ROTOR-RIG
298,11212.8760923394,11212.9198472265,11207.0305431562,24150.3308650996,11205.3038151450,11205.3322378274,24150.6385275631
898,34489.4324827609,34502.6502506218,34534.2168976862,47454.4747228444,34518.7630602329,34518.7725040887,47455.9399450144
1498,59799.3322585647,59830.6231914313,59963.9990900398,72848.1660664266,59920.7959623929,59920.8016247073,72825.8543367684
2098,86131.0234649070,86173.8735858452,86471.9532553373,99303.1948843717,86386.7069975125,86386.7110379104,99237.5139091315
2698,112911.762606102,112961.974203398,113488.963580469,126246.176352400,113347.085617595,113347.088756128,126122.246602310
3298,139918.390548943,139973.586976021,140795.451976441,153456.382018041,140582.030262118,140582.032826357,153259.570616529
3898,167052.689944681,167111.454581701,168296.466190814,180838.177381019,167996.231254309,167996.233420775,180553.131834793
4498,194265.687124650,194327.121288373,195946.365917940,208345.090098030,195543.650822054,195543.652696723,207955.589466300
5098,221530.458018581,221593.960111862,223721.836251833,235952.740245932,223200.528277353,223200.529928834,235441.654193162
5698,248831.042370433,248896.191498766,251610.954207365,263647.886760157,250954.434393475,250954.435868734,262997.114151203
