Temperatura,S_Mcquarie,S_Allison_Harmonica,S_Allison,         S_Foglia,S_Heibbe_Scalabrini,S_Heibbe_Scalabrini_Trunc,         S_Heibbe_Scalabrini_ROTOR-RIG
298,197.592468087097,197.630397343671,197.642019212942,197.629166147736,197.630589135288,197.630636805926,197.592802560779
898,230.873478817345,230.931675756307,231.001315810924,230.949577289232,230.966951199035,230.966956462349,230.917541988222
1498,248.148906165654,248.222753909215,248.376962733931,248.294901417565,248.319444217769,248.319446113640,248.243490867152
2098,260.121254579203,260.201678738490,260.447357584123,260.335896005940,260.366462134435,260.366463102451,260.260387074451
2698,269.254041711868,269.337579050386,269.678648935037,269.536345763660,269.574142283261,269.574142869216,269.436544879404
3298,276.621996709094,276.707212376720,277.146594985671,276.972194700236,277.018228779767,277.018229172228,276.848085671561
3898,282.790921583435,282.877135568218,283.417413343557,283.209891589534,283.264922754315,283.264923035449,283.061263561810
4498,288.093808611628,288.180661645441,288.824347407696,288.582775764997,288.647448659018,288.647448870287,288.409270565503
5098,292.742568043289,292.829853719512,293.579521124910,293.302982060478,293.377908538883,293.377908703453,293.104141214422
5698,296.880145362746,296.967737082869,297.826101446422,297.513637603147,297.599443557819,297.599443689642,297.288924595499
